Trip1,Trip2,Close,PhaseA,PhaseB,PhaseC,Contact
1085,694,-34,300,-117,-223,1
1113,744,-35,284,-1964,-246,1
1145,789,-31,275,-3778,-267,1
1178,827,-27,263,-5553,-284,1
1209,863,-22,258,-7308,-299,1
1235,897,-18,257,-9035,-309,1
1263,932,-17,261,-10730,-316,1
1289,967,-17,275,-12403,-322,1
1314,995,-16,292,-14046,-324,1
1341,1024,-14,298,-15661,-314,1
1364,1050,-12,290,-17220,-296,1
1379,1072,-4,263,-18776,-282,1
1388,1086,-1,221,-20269,-280,1
1384,1088,0,181,-21720,-288,1
1372,1085,-4,155,-23147,-310,1
1353,1077,-12,143,-24516,-331,1
1334,1065,-20,141,-25836,-341,1
1316,1052,-32,135,-27101,-337,1
1302,1035,-38,128,-28296,-322,1
1283,1016,-43,113,-29453,-305,1
1259,993,-44,95,-30517,-288,1
1236,968,-39,76,-31534,-281,1
1207,938,-34,59,-32464,-284,1
1175,904,-32,41,-32768,-298,1
1143,862,-38,19,-32768,-309,1
1110,826,-48,-6,-32768,-314,1
1076,797,-61,-32,-32768,-304,1
1048,782,-66,-51,-32768,-285,1
1021,781,-58,-65,-32768,-264,1
1004,794,-48,-69,-32768,-250,1
1003,810,-43,-67,-32768,-248,1
1016,827,-39,-67,-32768,-252,1
1034,844,-38,-72,-32768,-252,1
1054,867,-38,-87,-32768,-242,1
1082,890,-43,-109,-32768,-219,1
1109,907,-43,-131,-32768,-196,1
1137,913,-42,-147,-32768,-175,1
1159,913,-44,-157,-32768,-156,1
1172,910,-51,-166,-32768,-139,1
1188,904,-63,-178,-32768,-125,1
1205,899,-60,-194,-32768,-105,1
1225,901,-39,-214,-32768,-84,1
1256,899,-14,-229,-32768,-70,1
1287,907,9,-245,-32201,-63,1
1314,915,25,-262,-31253,-59,1
1339,920,32,-274,-30257,-51,1
1364,925,33,-287,-29155,-33,1
1394,935,23,-293,-27987,-3,1
1427,948,9,-304,-26767,31,1
1460,966,-8,-316,-25459,67,1
1495,984,-24,-330,-24112,91,1
1528,1002,-40,-337,-22686,94,1
1553,1015,-56,-340,-21206,78,1
1571,1024,-68,-330,-19630,59,1
1584,1021,-63,-320,-18060,48,1
1594,1020,-60,-314,-16405,57,1
1606,1024,-59,-316,-14708,85,1
1623,1034,-56,-322,-12987,115,1
1640,1046,-53,-327,-11210,147,1
1672,1062,-51,-326,-9414,175,1
1713,1086,-42,-322,-7584,196,1
1756,1114,-30,-318,-5744,212,1
1798,1145,-18,-313,-3879,221,1
1838,1184,-5,-312,-2006,227,1
1882,1234,7,-310,-137,234,1
1926,1289,16,-308,1714,245,1
1975,1352,25,-305,3530,261,1
2027,1415,29,-299,5314,282,1
2079,1481,37,-291,7061,297,1
2127,1541,43,-280,8789,314,1
2176,1594,45,-274,10475,327,1
2223,1635,47,-271,12138,336,1
2270,1668,52,-280,13776,344,1
2316,1702,58,-285,15385,342,1
2363,1736,59,-284,16962,331,1
2404,1773,56,-267,18512,314,1
2441,1814,54,-239,19986,299,1
2478,1854,56,-207,21445,296,1
2514,1889,63,-180,22858,309,1
2549,1922,70,-162,24227,328,1
2592,1959,78,-151,25550,345,1
2631,1998,77,-140,26808,355,1
2678,2039,67,-131,27997,351,1
2728,2087,50,-119,29162,340,1
2792,2138,33,-102,30205,323,1
2857,2187,16,-80,31232,309,1
2926,2233,2,-53,32135,306,1
2992,2276,-2,-31,32767,315,1
3059,2322,-6,-16,32767,328,1
3117,2371,-19,-1,32767,335,1
3177,2425,-36,19,32767,333,1
3234,2476,-50,44,32767,318,1
3289,2530,-59,69,32767,300,1
3344,2580,-66,87,32767,287,1
3403,2627,-70,87,32767,284,1
3470,2670,-60,76,32767,289,1
3537,2714,-48,65,32767,290,1
3607,2752,-37,73,32767,275,1
3684,2792,-27,99,32767,250,1
3762,2832,-24,133,32767,218,1
3843,2878,-28,160,32767,197,1
3918,2921,-31,174,32767,186,1
3991,2969,-35,178,32767,176,1
4064,3014,-40,184,32767,166,1
4129,3065,-47,196,32767,148,1
4193,3122,-59,213,32767,127,1
4257,3179,-63,231,32736,105,1
4318,3233,-62,250,31888,84,1
4382,3295,-54,263,30921,73,1
4446,3360,-46,273,29893,63,1
4504,3423,-37,281,28820,53,1
4551,3486,-32,292,27645,35,1
4591,3547,-26,308,26430,6,1
4631,3607,-21,324,25117,-26,1
4665,3663,-16,340,23747,-54,1
4705,3705,-15,346,22343,-71,1
4744,3740,-14,337,20841,-63,1
4785,3772,-16,316,19292,-48,1
4834,3800,-27,298,17688,-38,1
4886,3824,-42,288,16050,-45,1
4926,3850,-56,295,14349,-72,1
4967,3874,-61,311,12613,-111,1
5006,3901,-54,323,10845,-144,1
5044,3929,-41,324,9042,-168,1
5085,3957,-23,319,7216,-181,1
5127,3986,-10,309,5370,-188,1
5173,4017,-8,299,3508,-198,1
5214,4047,-8,293,1637,-208,1
5250,4082,-9,287,-230,-222,1
5293,4119,-15,287,-2077,-241,1
5328,4158,-25,287,-3885,-259,1
5363,4193,-37,282,-5656,-271,1
5397,4224,-52,277,-7396,-283,1
5433,4255,-63,266,-9104,-294,1
5475,4283,-70,260,-10785,-308,1
5520,4309,-66,260,-12449,-320,1
5577,4330,-60,265,-14074,-328,1
5636,4341,-52,271,-15674,-329,1
5691,4344,-46,269,-17251,-318,1
5736,4350,-42,250,-18783,-301,1
5769,4355,-39,222,-20277,-283,1
5797,4358,-37,191,-21713,-275,1
5814,4353,-38,169,-23138,-284,1
5826,4351,-41,159,-24479,-301,1
5846,4347,-48,153,-25826,-319,1
5860,4353,-61,143,-27046,-327,1
5873,4355,-63,125,-28277,-322,1
5888,4368,-43,98,-29380,-311,1
5904,4381,-25,70,-30467,-296,1
5919,4402,-8,41,-31436,-283,1
5935,4431,7,17,-32348,-280,1
5954,4465,17,3,-32768,-292,1
5978,4500,18,0,-32768,-308,1
6000,4530,11,0,-32768,-317,1
6030,4548,3,1,-32768,-309,1
6054,4563,-3,3,-32768,-291,1
6082,4571,-11,3,-32768,-269,1
6106,4579,-17,5,-32768,-251,0
6127,4596,-31,4,-32768,-242,0
6149,4619,-54,5,-32768,-243,0
6161,4639,-62,5,-32768,-244,0
6166,4656,-42,5,-32768,-239,0
6170,4669,-30,5,-32768,-225,0
6175,4680,-23,5,-32768,-206,0
6181,4691,-15,6,-32768,-181,0
6189,4696,-11,8,-32768,-159,0
6209,4698,-6,8,-32768,-143,0
6218,4692,-7,6,-32768,-132,0
6234,4686,-12,8,-32768,-120,0
6235,4663,-16,8,-32768,-107,0
6229,4643,-24,5,-32768,-92,0
6214,4617,-37,6,-31948,-76,0
6192,4588,-50,6,-31034,-58,0
6165,4568,-61,5,-29989,-40,0
6126,4541,-62,5,-28916,-14,0
6070,4506,-43,3,-27739,17,0
5994,4456,-29,3,-26515,33,0
5906,4392,-14,2,-25236,36,0
5847,4397,-8,1,-23850,36,0
5809,4630,-22,1,-22429,37,0
5781,4831,-12,0,-20933,35,0
5827,4898,-1,0,-19380,35,0
5831,4823,16,-2,-17783,33,0
5709,4518,-47,-4,-16117,30,0
5532,4175,78,-5,-14428,30,0
5231,4054,193,-5,-12694,29,0
4989,4165,187,-9,-10912,29,0
4718,4156,167,-7,-9109,29,0
4418,4045,150,-11,-7274,27,0
4099,3857,134,-12,-5421,26,0
3779,3620,117,-13,-3553,25,0
3465,3358,97,-15,-1664,25,0
3161,3081,82,-15,-33,24,0
3404,3416,286,-20,1551,20,0
3544,3599,657,-20,2850,20,0
3522,3598,869,-20,4581,20,0
3395,3464,970,-18,6226,21,0
3181,3233,1001,-20,7966,23,0
2913,2942,983,-22,9768,20,0
2607,2624,930,-23,11367,21,0
2286,2296,863,-23,13068,22,0
1961,1971,789,-24,14679,21,0
1653,1668,706,-26,16210,21,0
1362,1382,621,-27,17799,21,0
1106,1121,538,-26,19286,21,0
873,892,459,-24,20711,21,0
669,693,388,-28,22174,20,0
496,524,324,-27,23454,22,0
353,383,272,-29,24820,22,0
235,271,223,-27,26070,23,0
144,186,174,-28,27265,21,0
76,120,134,-29,28428,23,0
25,65,95,-27,29528,22,0
-15,18,60,-27,30546,24,0
-49,-23,28,-28,31511,25,0
-63,-48,0,-28,32321,25,0
-45,-24,-25,-27,32767,26,0
-32,-5,-44,-28,32767,26,0
-24,13,-59,-27,32767,25,0
-20,31,-70,-27,32767,26,0
-11,43,-58,-28,32767,28,0
2,54,-49,-27,32767,26,10
12,61,-44,-27,32767,28,10
20,57,-42,-28,32767,27,10
19,19,-54,-29,32767,28,10
11,-16,-67,-29,32767,27,10
6,-49,-56,-30,32767,25,10
1,-23,-42,-29,32767,27,10
4,-12,-28,-27,32767,26,10
9,-12,-17,-27,32767,25,10
12,-27,-6,-27,32767,26,10
9,-45,-4,-28,32767,26,10
1,-35,-8,-28,32767,26,10
-11,-7,-12,-27,32767,24,10
-17,19,-15,-28,32010,23,10
-21,42,-14,-29,31115,22,10
-20,58,-13,-28,30202,22,10
-16,65,-6,-28,29155,20,10
-17,64,-4,-29,28095,21,10
-20,56,-5,-28,26866,18,10
-27,49,-13,-27,25657,17,10
-32,41,-16,-29,24306,17,10
-40,34,-13,-27,22960,17,10
-42,35,-4,-27,21472,16,10
-43,36,7,-27,19979,16,10
-35,36,18,-28,18386,17,10
-24,31,25,-26,16765,14,10
-15,29,26,-26,15104,14,10
-13,25,23,-27,13371,16,10
-24,24,15,-23,11620,16,10
-34,15,8,-23,9818,14,10
-44,-1,2,-21,7991,17,10
-58,-44,1,-22,6144,16,10
-66,10,9,-22,4257,18,10
-69,48,23,-19,2338,18,10
-55,65,40,-18,482,19,10
-41,68,51,-18,-698,19,10
-33,58,64,-16,-1159,20,10
-33,41,77,-17,-1230,22,10
-39,22,95,-17,-1185,21,10
-47,1,114,-16,-1135,22,10
-52,-13,125,-17,-1112,21,10
-59,-24,131,-17,-1102,23,10
-66,-31,137,-17,-1102,23,10
-69,-34,136,-18,-1104,24,10
-67,-36,127,-16,-1102,23,10
-71,-40,121,-16,-1102,24,10
-58,-39,116,-16,-1101,24,10
-44,-50,107,-16,-1101,24,10
-37,-33,87,-17,-1099,24,10
-40,-17,65,-16,-1099,24,10
-48,-1,40,-17,-1096,25,10
-62,13,10,-16,-1095,23,10
-65,20,-16,-17,-1094,25,10
-53,30,-46,-15,-1091,25,10
-45,39,-67,-16,-1088,25,10
-31,49,-33,-15,-1089,26,10
-17,47,-1,-15,-1086,26,10
-3,35,23,-16,-1085,25,10
8,16,39,-17,-1084,25,10
15,-10,47,-16,-1083,24,10
26,-40,46,-17,-1082,25,10
41,-35,33,-15,-1080,25,10
60,-10,16,-14,-1079,24,10
79,4,-5,-15,-1077,25,10
100,10,-23,-14,-1075,25,10
119,12,-37,-15,-1073,24,10
137,9,-35,-16,-1072,24,10
146,0,-29,-16,-1071,26,10
145,-9,-26,-15,-1070,26,10
138,-20,-30,-15,-1068,25,10
129,-32,-42,-16,-1067,26,10
121,-42,-56,-14,-1064,25,10
108,-48,-68,-15,-1065,25,10
93,-39,-59,-15,-1064,26,10
83,-25,-46,-16,-1061,27,10
74,-14,-43,-16,-1059,26,10
71,0,-44,-14,-1056,26,10
72,8,-41,-15,-1057,26,10
73,14,-31,-15,-1056,26,10
79,18,-19,-14,-1054,26,10
81,19,-10,-16,-1051,25,10
81,14,-8,-16,-1052,24,10
84,6,-5,-16,-1048,24,10
81,-3,-8,-16,-1048,25,10
78,-14,-8,-14,-1049,26,10
79,-26,-15,-16,-1046,26,10
84,-36,-23,-15,-1042,26,10
83,-47,-37,-15,-1042,26,10
83,-48,-54,-14,-1040,25,10
74,-42,-66,-15,-1039,25,10
56,-43,-65,-15,-1036,26,10
33,-45,-60,-17,-1035,26,10
10,-26,-51,-15,-1035,25,10
-10,-12,-43,-15,-1035,25,10
-26,0,-39,-17,-1032,25,10
-35,15,-38,-17,-1031,24,10
-35,33,-44,-15,-1030,24,10
-25,50,-51,-16,-1029,25,10
-12,62,-57,-16,-1028,24,10
1,70,-62,-16,-1025,24,10
13,82,-63,-15,-1024,24,10
26,91,-58,-15,-1024,24,10
36,97,-49,-15,-1022,23,10
38,98,-42,-16,-1020,24,10
39,101,-37,-16,-1019,25,10
29,105,-35,-16,-1018,23,10
23,100,-35,-16,-1017,23,10
12,93,-38,-17,-1014,24,10
8,82,-41,-17,-1016,24,10
2,69,-44,-17,-1012,25,10
1,50,-43,-15,-1012,23,10
0,39,-41,-16,-1010,23,10
0,28,-37,-17,-1009,23,10
0,20,-36,-16,-1008,25,10
-6,8,-34,-15,-1006,25,10
-14,-4,-35,-16,-1005,25,10
-22,-18,-32,-15,-1002,25,10
-28,-28,-25,-16,-1002,24,10
-34,-43,-17,-15,-1001,24,10
-45,-46,-14,-15,-1001,23,10
-55,-40,-17,-16,-999,24,10
-64,-41,-23,-16,-998,23,10
-69,-50,-35,-16,-996,24,10
-69,-36,-42,-16,-996,23,10
-67,-17,-50,-15,-992,23,10
-58,6,-56,-15,-992,22,10
-49,27,-68,-16,-990,23,10
-45,47,-63,-16,-989,22,10
-38,57,-51,-15,-986,22,10
-27,66,-42,-16,-986,22,10
-17,72,-37,-15,-983,23,10
-7,80,-36,-15,-983,22,10
1,83,-34,-15,-980,22,10
12,77,-28,-15,-977,24,10
22,72,-26,-14,-979,23,10
